equipment,ip_address,incident_time
36005-Eltex2,172.20.12.58,2024-10-08 21:54:13
36005-s-terra2,198.18.142.58,2024-10-08 21:57:13
36005-Eltex2,172.20.12.58,2024-10-08 21:57:13
36005-Eltex2,172.20.12.58,2024-10-08 21:57:13
75014-Eltex1,172.16.23.130,2024-10-08 21:57:14
66056-Eltex1,172.16.28.138,2024-10-08 21:59:12
73012-Eltex2,172.20.32.214,2024-10-08 22:14:15
77090-Eltex2,172.20.1.106,2024-10-08 21:10:34
11009-Eltex2,172.20.27.198,2024-10-08 22:46:14
86046-Eltex1,172.16.30.114,2024-10-08 23:02:15
86022-s-terra1,198.18.21.190,2024-10-08 23:06:24
36005-s-terra2,198.18.142.58,2024-10-08 23:05:12
36005-Eltex2,172.20.12.58,2024-10-08 23:05:12
36005-Eltex2,172.20.12.58,2024-10-08 23:05:12
36005-s-terra2,198.18.142.58,2024-10-08 23:25:12
36005-Eltex2,172.20.12.58,2024-10-08 23:25:12
36005-Eltex2,172.20.12.58,2024-10-08 23:25:12
36005-s-terra2,198.18.142.58,2024-10-08 23:36:13
32010-Eltex1,172.16.32.126,2024-10-08 23:38:16
36005-Eltex2,172.20.12.58,2024-10-08 23:41:12
32010-s-terra2,198.18.162.126,2024-10-08 23:55:13
73002-Eltex2,172.20.14.154,2024-10-09 00:11:13
21016-Eltex2,172.20.32.122,2024-10-09 00:11:13
77133-Eltex1,172.16.1.98,2024-10-09 00:14:13
77133-Eltex1,172.16.1.98,2024-10-09 00:25:13
77169-s-terra1,198.18.3.226,2024-10-09 00:35:19
77169-Eltex1,172.16.1.226,2024-10-09 00:37:12
02029-Eltex2,172.20.28.162,2024-10-09 00:50:13
11009-Eltex2,172.20.27.198,2024-10-09 00:54:17
12006-Eltex2,172.20.14.18,2024-10-09 00:59:13
23058-Eltex2,172.20.31.6,2024-10-09 01:06:14
28005-Eltex2,172.20.23.166,2024-10-09 01:13:18
28005-Eltex2,172.20.23.166,2024-10-09 01:18:19
11005-Eltex2,172.20.6.142,2024-10-09 02:07:13
